,eventId,authorId
0,00001E11260,4
1,00001E11251,6
2,00001E11255,2
3,00001E11261,1
4,00001E11252,5
5,00001E11259,3
6,00001E11266,5
7,00001E11258,6
8,00001E11254,4
9,00001E11280,6
10,00001E11264,5
11,00001E11273,3
12,00001E11262,2
13,00001E11269,2
14,00001E11253,1
15,00001E11283,5
16,00001E11294,2
17,00001E11257,5
18,00001E11301,4
19,00001E11268,5
20,00001E11275,5
21,00001E11289,4
22,00001E11320,3
23,00001E11305,6
24,00001E11325,1
25,00001E11277,5
26,00001E11334,5
27,00001E11310,3
28,00001E11306,3
29,00001E11309,5
30,00001E11276,1
31,00001E11270,2
32,00001E11313,6
33,00001E11267,1
34,00001E11307,2
35,00001E11279,4
36,00001E11291,2
37,00001E11302,6
38,00001E11311,3
39,00001E11292,3
40,00001E11314,6
41,00001E11386,2
42,00001E11296,4
43,00001E11300,2
44,00001E11359,4
45,00001E11285,5
46,00001E11352,3
47,00001E11272,2
48,00001E11281,6
49,00001E11379,3
